Aaoar1	Aaosphaeria	arxii	Aaosphaeria arxii
Daequ1	Daedalea	quercina	Daedalea quercina
DalEC12	Daldinia	eschscholtzii	Daldinia eschscholtzii
Dekbr2	Dekkera	bruxellensis	Dekkera bruxellensis
Delco1	Delitschia	confertaspora	Delitschia confertaspora
Delst1	Delphinella	strobiligena	Delphinella strobiligena
Denbi1	Dendrothele	bispora	Dendrothele bispora
Denna1	Dendryphion	nanum	Dendryphion nanum
Dicele1	Dichotomocladium	elegans	Dichotomocladium elegans
Dicsq1	Dichomitus	squalens	Dichomitus squalens
Didex1	Didymella	exigua	Didymella exigua
Didsa1	Didymocrea	sadasivanii	Didymocrea sadasivanii
DimcrSC1	Dimargaris	cristalligena	Dimargaris cristalligena
Diocr1	Dioszegia	cryoxerica	Dioszegia cryoxerica
Disac1	Dissoconium	aciculare	Dissoconium aciculare
Disorn1	Dissophora	ornata	Dissophora ornata
Dotse1	Dothistroma	septosporum	Dothistroma septosporum
Dotsy1	Dothidotthia	symphoricarpi	Dothidotthia symphoricarpi
Earsca1	Earliella	scabrosa	Earliella scabrosa
Elmca1	Aporpium	caryae	Aporpium caryae
EndpusZ1	Endocarpon	pusillum	Endocarpon pusillum
Enthel1	Entophlyctis	helioformis	Entophlyctis helioformis
Entma1	Entoleuca	mammata	Entoleuca mammata
Epityp1	Epithele	typhae	Epithele typhae
Erynec1	Erysiphe	necator	Erysiphe necator
Eurhe1	Eurotium	herbariorum	Eurotium herbariorum
Exigl1	Exidia	glandulosa	Exidia glandulosa
Exoalc1	Exophiala	alcalophila	Exophiala alcalophila
Exoalc1	Exophiala	alcalophila	Exophiala alcalophila
Exoaq1	Exophiala	aquamarina	Exophiala aquamarina
Exode1	Exophiala	dermatitidis	Exophiala dermatitidis
Exomac1	Exobasidium	maculosum	Exobasidium maculosum
Exome1	Exophiala	mesophila	Exophiala mesophila
Exool1	Exophiala	oligosperma	Exophiala oligosperma
Exosi1	Exophiala	sideris	Exophiala sideris
Exosp1	Exophiala	spinifera	Exophiala spinifera
Exova1	Exobasidium	vaccinii	Exobasidium vaccinii
Exoxe1	Exophiala	xenobiotica	Exophiala xenobiotica
Fenfe1	Fenestella	fenestrata	Fenestella fenestrata
Fenlin1	Fennellomyces	sp.	Fennellomyces sp.
Fibsp1	Fibulorhizoctonia	sp.	Fibulorhizoctonia sp.
Fishe1	Fistulina	hepatica	Fistulina hepatica
Fomfom1	Fomes	fomentarius	Fomes fomentarius
Fomme1	Fomitiporia	mediterranea	Fomitiporia mediterranea
Fompi3	Fomitopsis	pinicola	Fomitopsis pinicola
Fomro1	Fomitopsis	rosea	Fomitopsis rosea
Fomros1	Rhodofomes	roseus	Rhodofomes roseus
Fonmo1	Fonsecaea	monophora	Fonsecaea monophora
Fonmu1	Fonsecaea	multimorphosa	Fonsecaea multimorphosa
Fonnu1	Fonsecaea	nubica	Fonsecaea nubica
Fonpe1	Fonsecaea	pedrosoi	Fonsecaea pedrosoi
Fusco1	Fusarium	commune	Fusarium commune
Fuseq1	Fusarium	equiseti	Fusarium equiseti
Fusoxy1	Fusarium	oxysporum	Fusarium oxysporum
Fusoxys1	Fusarium	oxysporum	Fusarium oxysporum
Fusps1	Fusarium	pseudograminearum	Fusarium pseudograminearum
Fusre1	Fusarium	redolens	Fusarium redolens
Fusso1	Fusarium	solani	Fusarium solani
Fustr1	Fusarium	tricinctum	Fusarium tricinctum
Fustri1	Fusarium	tricinctum	Fusarium tricinctum
Fusven1	Fusarium	venenatum	Fusarium venenatum
Gaesem1	Gaertneriomyces	semiglobifer	Gaertneriomyces semiglobifer
Galma1	Galerina	marginata	Galerina marginata
Ganpr1	Gonapodya	prolifera	Gonapodya prolifera
Gansp1	Ganoderma	sp.	Ganoderma sp.
Gelte1	Gelasinospora	tetrasperma	Gelasinospora tetrasperma
Geocar1	Geopyxis	carbonaria	Geopyxis carbonaria
Gilper1	Gilbertella	persicaria	Gilbertella persicaria
Gloac1	Glomerella	acutata	Glomerella acutata
Gloci1	Glomerella	cingulata	Glomerella cingulata
Glocon1	Gloeopeniophorella	convolvens	Gloeopeniophorella convolvens
Gloin1	Glomus	intraradices	Glomus intraradices
Glonio1	Gloniopsis	sp.	Gloniopsis sp.
Glopol1	Globomyces	pollinis-pini	Globomyces pollinis-pini
Glotr1	Gloeophyllum	trabeum	Gloeophyllum trabeum
Golci1	Golovinomyces	cichoracearum	Golovinomyces cichoracearum
Gonbut1	Gongronella	butleri	Gongronella butleri
Gorhay1	Gorgonomyces	haynaldii	Gorgonomyces haynaldii
Greab1	Gremmeniella	abietina	Gremmeniella abietina
Guyne1	Guyanagaster	necrorhiza	Guyanagaster necrorhiza
Gyman1	Gymnopus	androsaceus	Gymnopus androsaceus
Gymau1	Gymnascella	aurantiaca	Gymnascella aurantiaca
